VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type ,PULocationID,DOLocationID
2,01/01/2016 06:01:36 AM,01/01/2016 06:07:52 AM,N,1,-73.942840576171875,40.811550140380859,-73.956108093261719,40.813037872314453,1,0.97,6.5,0,0.5,0,0,,0.3,7.3,2,1,,
2,01/01/2016 06:01:29 AM,01/01/2016 06:07:59 AM,N,1,-73.88372802734375,40.747428894042969,-73.881248474121094,40.745449066162109,1,0.85,6,0,0.5,0,0,,0.3,6.8,2,1,,
2,01/01/2016 06:00:19 AM,01/01/2016 06:08:08 AM,N,1,-73.957740783691406,40.722034454345703,-73.94732666015625,40.711360931396484,1,1.16,7,0,0.5,1.56,0,,0.3,9.36,1,1,,
2,01/01/2016 06:01:50 AM,01/01/2016 06:08:10 AM,N,1,-73.891998291015625,40.768756866455078,-73.903305053710937,40.745601654052734,1,2.3,9,0,0.5,0,0,,0.3,9.8,1,1,,
1,01/01/2016 06:00:10 AM,01/01/2016 06:08:13 AM,N,1,-73.956443786621094,40.717082977294922,-73.95611572265625,40.731410980224609,1,1.4,7.5,0.5,0.5,0,0,,0.3,8.8,2,1,,
2,01/01/2016 06:05:06 AM,01/01/2016 06:08:20 AM,N,1,-73.903411865234375,40.771091461181641,-73.911598205566406,40.776729583740234,1,0.57,4.5,0,0.5,0,0,,0.3,5.3,2,1,,
2,01/01/2016 06:03:13 AM,01/01/2016 06:08:22 AM,N,1,-73.958198547363281,40.721668243408203,-73.943595886230469,40.711589813232422,1,1.7,6.5,0,0.5,3,0,,0.3,10.3,1,1,,
2,01/01/2016 06:05:11 AM,01/01/2016 06:08:28 AM,N,1,-73.844268798828125,40.721378326416016,-73.851051330566406,40.721122741699219,1,0.56,4.5,0,0.5,0,0,,0.3,5.3,1,1,,
1,01/01/2016 06:07:07 AM,01/01/2016 06:08:36 AM,N,1,-73.950004577636719,40.802181243896484,-73.956443786621094,40.804813385009766,1,0.4,3.5,0.5,0.5,1.2,0,,0.3,6,1,1,,
2,01/01/2016 06:05:44 AM,01/01/2016 06:08:39 AM,N,1,-73.844268798828125,40.721321105957031,-73.832595825195313,40.715087890625,1,0.75,4.5,0,0.5,1.06,0,,0.3,6.36,1,1,,
2,01/01/2016 06:07:29 AM,01/01/2016 06:08:43 AM,N,1,-73.910049438476562,40.706390380859375,-73.914779663085938,40.706428527832031,1,0.35,3,0,0.5,0.76,0,,0.3,4.56,1,1,,
2,01/01/2016 06:04:53 AM,01/01/2016 06:08:50 AM,N,1,-73.917457580566406,40.849170684814453,-73.927169799804688,40.852321624755859,1,1.29,6,0,0.5,1.36,0,,0.3,8.16,1,1,,
2,01/01/2016 06:02:23 AM,01/01/2016 06:08:50 AM,N,1,-73.859909057617188,40.756763458251953,-73.863937377929688,40.745002746582031,1,1.04,6.5,0,0.5,0,0,,0.3,7.3,2,1,,
2,01/01/2016 06:00:42 AM,01/01/2016 06:08:57 AM,N,1,-73.933006286621094,40.707675933837891,-73.955154418945313,40.716323852539062,6,1.86,8.5,0.5,0.5,0,0,,0.3,9.8,2,1,,
